LGT_COND,PER_ONE_AGE,PER_ONE_SEX,PER_TWO_AGE,PER_TWO_SEX,VEH_ONE_IMP,VEH_TWO_IMP,VEH_ONE_DR_SF1,VEH_ONE_DR_SF2,VEH_ONE_DR_SF3,VEH_ONE_DR_SF4,VEH_TWO_DR_SF1,VEH_TWO_DR_SF2,VEH_TWO_DR_SF3,VEH_TWO_DR_SF4,VEH_ONE_DR_VIO1,VEH_ONE_DR_VIO2,VEH_ONE_DR_VIO3,VEH_ONE_DR_VIO4,VEH_TWO_DR_VIO1,VEH_TWO_DR_VIO2,VEH_TWO_DR_VIO3,VEH_TWO_DR_VIO4,Predicted Class,Probability Class 0,Probability Class 1
3.0,41.0,1.0,62.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9994313,0.0005686151
1.0,21.0,2.0,71.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99963176,0.00036819858
1.0,22.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9987369,0.0012630534
3.0,56.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99881786,0.0011820748
3.0,21.0,1.0,39.0,2.0,1.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99999785,2.1496521e-06
1.0,30.0,1.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9994203,0.0005797214
3.0,23.0,1.0,47.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0,0.993052,0.006948008
1.0,24.0,1.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9999075,9.255687e-05
1.0,41.0,1.0,35.0,2.0,1.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99999833,1.6438339e-06
1.0,72.0,1.0,36.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9999498,5.016223e-05
